,SEQN,INDHHIN2,INDFMIN2,INDFMPIR,RIDAGEYR
0,73557,4.0,4.0,0.84,69
1,73558,7.0,7.0,1.78,54
2,73559,10.0,10.0,4.51,72
3,73560,9.0,9.0,2.52,9
4,73561,15.0,15.0,5.0,73
5,73562,9.0,9.0,4.79,56
6,73563,15.0,15.0,5.0,0
7,73564,10.0,10.0,5.0,61
8,73565,15.0,15.0,5.0,42
9,73566,4.0,4.0,0.48,56
10,73567,3.0,3.0,1.2,65
11,73568,15.0,15.0,5.0,26
13,73570,5.0,5.0,0.84,9
14,73571,14.0,14.0,5.0,76
15,73572,2.0,2.0,0.41,10
16,73573,8.0,8.0,1.79,10
17,73574,8.0,8.0,2.1,33
18,73575,3.0,3.0,0.76,1
19,73576,8.0,8.0,1.58,16
20,73577,5.0,2.0,0.29,32
21,73578,5.0,5.0,0.58,18
22,73579,10.0,10.0,2.97,12
24,73581,15.0,15.0,5.0,50
25,73582,3.0,3.0,0.69,23
26,73583,15.0,15.0,5.0,7
27,73584,9.0,9.0,3.07,13
28,73585,7.0,7.0,2.26,28
29,73586,6.0,6.0,1.27,4
30,73587,15.0,15.0,3.33,14
31,73588,6.0,6.0,1.54,11
32,73589,5.0,5.0,1.74,35
33,73590,5.0,5.0,0.8,2
34,73591,15.0,15.0,5.0,6
35,73592,12.0,6.0,2.14,29
36,73593,15.0,15.0,4.19,3
37,73594,5.0,5.0,0.45,23
38,73595,8.0,8.0,3.09,58
39,73596,15.0,15.0,5.0,57
40,73597,15.0,6.0,2.18,50
42,73599,8.0,6.0,1.52,13
43,73600,5.0,5.0,0.63,37
44,73601,14.0,14.0,3.82,12
46,73603,14.0,14.0,3.77,35
47,73604,10.0,6.0,2.44,69
48,73605,15.0,15.0,4.25,13
49,73606,14.0,14.0,3.23,16
50,73607,4.0,4.0,1.08,75
51,73608,3.0,3.0,0.42,3
52,73609,6.0,6.0,1.09,11
53,73610,10.0,10.0,2.03,43
54,73611,5.0,5.0,0.45,3
55,73612,7.0,7.0,0.88,6
56,73613,15.0,15.0,5.0,60
57,73614,5.0,5.0,1.29,55
58,73615,3.0,3.0,1.22,65
59,73616,15.0,15.0,5.0,62
60,73617,4.0,4.0,0.47,6
62,73619,3.0,3.0,0.84,36
63,73620,15.0,15.0,5.0,3
64,73621,14.0,14.0,5.0,80
65,73622,14.0,14.0,5.0,72
66,73623,14.0,14.0,3.27,32
67,73624,4.0,4.0,0.47,31
69,73626,4.0,4.0,0.78,72
70,73627,15.0,15.0,3.63,0
71,73628,7.0,7.0,3.0,80
72,73629,14.0,14.0,3.45,26
73,73630,15.0,15.0,5.0,13
74,73631,2.0,2.0,0.71,56
75,73632,7.0,7.0,2.48,23
76,73633,14.0,14.0,3.56,43
77,73634,6.0,6.0,1.52,65
78,73635,15.0,15.0,5.0,4
79,73636,14.0,14.0,3.82,1
80,73637,2.0,2.0,0.3,2
81,73638,6.0,6.0,2.18,63
82,73639,7.0,7.0,1.45,71
83,73640,6.0,6.0,2.23,67
84,73641,2.0,2.0,0.77,64
85,73642,8.0,8.0,2.27,57
86,73643,1.0,1.0,0.0,62
87,73644,7.0,7.0,1.13,8
88,73645,15.0,15.0,5.0,54
89,73646,15.0,15.0,4.25,4
90,73647,10.0,10.0,3.53,61
91,73648,15.0,15.0,5.0,16
92,73649,2.0,2.0,0.31,3
93,73650,10.0,10.0,2.19,6
94,73651,9.0,9.0,2.31,6
95,73652,9.0,9.0,3.81,54
96,73653,3.0,3.0,0.38,10
97,73654,4.0,4.0,1.0,46
98,73655,8.0,8.0,1.79,44
99,73656,15.0,15.0,4.25,54
100,73657,7.0,7.0,1.45,19
101,73658,15.0,15.0,5.0,35
102,73659,6.0,6.0,1.93,70
103,73660,7.0,7.0,1.82,59
104,73661,7.0,7.0,2.02,25
105,73662,3.0,3.0,0.61,39
106,73663,15.0,9.0,5.0,25
107,73664,14.0,14.0,3.14,5
108,73665,1.0,1.0,0.03,59
109,73666,9.0,9.0,3.81,70
110,73667,4.0,4.0,0.65,24
111,73668,8.0,8.0,1.43,30
112,73669,5.0,5.0,0.96,4
113,73670,3.0,3.0,0.87,71
114,73671,3.0,3.0,0.86,49
115,73672,14.0,14.0,5.0,73
116,73673,15.0,15.0,5.0,45
118,73675,4.0,4.0,0.87,29
119,73676,10.0,10.0,2.73,44
120,73677,15.0,15.0,5.0,61
121,73678,6.0,6.0,1.02,51
122,73679,7.0,7.0,1.52,1
123,73680,8.0,8.0,2.46,12
124,73681,6.0,6.0,1.07,9
125,73682,2.0,2.0,0.36,3
126,73683,8.0,8.0,2.12,2
127,73684,15.0,15.0,5.0,64
128,73685,6.0,5.0,1.02,0
129,73686,5.0,5.0,0.63,7
130,73687,4.0,4.0,0.72,8
131,73688,10.0,10.0,4.45,58
132,73689,15.0,15.0,5.0,54
133,73690,8.0,8.0,3.09,77
134,73691,8.0,8.0,1.56,14
135,73692,6.0,6.0,1.61,65
136,73693,2.0,2.0,0.78,78
137,73694,10.0,10.0,4.51,66
138,73695,9.0,9.0,3.61,79
140,73697,8.0,8.0,3.18,57
141,73698,9.0,6.0,2.74,23
143,73700,3.0,3.0,0.51,0
144,73701,15.0,15.0,4.19,47
145,73702,9.0,9.0,3.81,48
147,73704,7.0,7.0,0.93,8
148,73705,15.0,15.0,4.19,10
149,73706,6.0,6.0,1.44,54
150,73707,77.0,1.0,0.0,45
151,73708,15.0,15.0,5.0,69
152,73709,6.0,6.0,2.0,64
153,73710,4.0,4.0,0.47,2
154,73711,4.0,4.0,0.46,5
155,73712,15.0,15.0,5.0,18
156,73713,99.0,4.0,0.76,3
157,73714,15.0,15.0,5.0,29
158,73715,9.0,9.0,3.07,38
159,73716,8.0,8.0,4.35,25
160,73717,7.0,7.0,1.89,78
161,73718,5.0,5.0,1.02,53
162,73719,6.0,6.0,0.7,11
163,73720,9.0,9.0,3.03,48
164,73721,6.0,6.0,2.18,80
165,73722,7.0,7.0,3.31,80
166,73723,15.0,15.0,5.0,77
168,73725,8.0,8.0,3.05,80
169,73726,8.0,8.0,1.34,67
170,73727,2.0,2.0,0.31,3
171,73728,15.0,15.0,3.13,16
172,73729,9.0,9.0,2.59,46
173,73730,6.0,6.0,1.28,48
174,73731,15.0,15.0,4.61,12
175,73732,8.0,8.0,3.18,80
177,73734,1.0,1.0,0.03,5
178,73735,1.0,1.0,0.0,29
180,73737,10.0,10.0,2.19,30
181,73738,15.0,15.0,5.0,29
182,73739,6.0,6.0,1.47,46
183,73740,9.0,9.0,2.52,57
185,73742,7.0,7.0,1.43,11
187,73744,4.0,4.0,0.64,0
188,73745,3.0,3.0,0.55,7
189,73746,3.0,3.0,1.22,64
190,73747,14.0,14.0,5.0,80
191,73748,8.0,8.0,1.15,0
193,73750,7.0,7.0,1.43,9
194,73751,3.0,3.0,0.64,61
195,73752,9.0,9.0,2.18,8
196,73753,8.0,8.0,2.12,11
197,73754,4.0,4.0,0.84,15
198,73755,7.0,4.0,1.63,75
200,73757,14.0,14.0,5.0,29
201,73758,15.0,15.0,5.0,15
202,73759,7.0,7.0,1.49,9
203,73760,5.0,5.0,1.27,64
204,73761,3.0,3.0,0.4,17
205,73762,10.0,10.0,2.19,3
206,73763,1.0,1.0,0.06,31
207,73764,10.0,10.0,2.51,13
208,73765,3.0,3.0,0.64,54
209,73766,5.0,5.0,1.75,75
210,73767,15.0,15.0,4.61,35
211,73768,14.0,14.0,3.35,4
213,73770,14.0,14.0,4.77,50
214,73771,6.0,6.0,1.2,0
215,73772,15.0,15.0,4.71,21
216,73773,15.0,15.0,4.17,39
218,73775,3.0,3.0,0.5,14
219,73776,5.0,5.0,0.54,19
220,73777,5.0,5.0,0.84,5
221,73778,5.0,5.0,2.08,62
222,73779,1.0,1.0,0.04,62
225,73782,5.0,3.0,1.08,68
226,73783,15.0,15.0,4.67,26
227,73784,6.0,6.0,1.52,7
228,73785,15.0,15.0,5.0,46
229,73786,5.0,5.0,0.91,18
230,73787,9.0,9.0,3.07,71
231,73788,2.0,2.0,0.37,9
232,73789,15.0,15.0,4.19,2
233,73790,7.0,7.0,3.08,59
234,73791,5.0,5.0,0.59,8
235,73792,15.0,15.0,5.0,68
236,73793,14.0,14.0,2.25,10
237,73794,3.0,3.0,0.2,6
238,73795,15.0,15.0,5.0,59
239,73796,7.0,7.0,1.27,5
240,73797,4.0,4.0,1.0,57
241,73798,5.0,5.0,0.54,11
243,73800,4.0,4.0,1.29,54
244,73801,15.0,15.0,4.67,46
245,73802,1.0,1.0,0.0,18
246,73803,7.0,7.0,1.27,14
247,73804,5.0,5.0,0.87,55
248,73805,2.0,2.0,0.55,30
249,73806,14.0,14.0,5.0,63
250,73807,15.0,15.0,5.0,50
251,73808,7.0,7.0,2.58,53
252,73809,6.0,6.0,1.33,52
253,73810,14.0,14.0,2.25,48
254,73811,5.0,5.0,1.32,64
255,73812,3.0,3.0,0.66,5
256,73813,14.0,14.0,2.22,34
257,73814,1.0,1.0,0.11,0
258,73815,8.0,8.0,3.22,72
259,73816,6.0,6.0,1.54,64
260,73817,5.0,2.0,0.29,0
261,73818,15.0,15.0,5.0,5
262,73819,15.0,15.0,5.0,4
263,73820,9.0,9.0,3.2,56
264,73821,15.0,15.0,5.0,56
265,73822,1.0,1.0,0.03,13
266,73823,6.0,6.0,2.03,35
267,73824,3.0,3.0,0.5,11
268,73825,15.0,15.0,5.0,64
269,73826,4.0,4.0,0.54,14
270,73827,15.0,15.0,5.0,11
271,73828,9.0,9.0,2.64,4
272,73829,15.0,15.0,5.0,7
273,73830,15.0,15.0,5.0,64
274,73831,6.0,6.0,1.4,48
275,73832,10.0,10.0,4.45,77
276,73833,15.0,15.0,5.0,34
278,73835,15.0,15.0,5.0,13
279,73836,8.0,8.0,1.29,9
280,73837,9.0,9.0,3.03,29
281,73838,8.0,8.0,2.92,2
282,73839,9.0,8.0,2.53,68
283,73840,5.0,5.0,1.89,77
284,73841,5.0,5.0,0.58,13
285,73842,3.0,3.0,1.2,53
286,73843,7.0,7.0,1.25,42
287,73844,7.0,7.0,2.2,12
288,73845,4.0,4.0,1.65,70
289,73846,7.0,7.0,1.43,24
290,73847,7.0,7.0,1.13,34
291,73848,3.0,3.0,1.03,65
292,73849,15.0,15.0,5.0,16
293,73850,5.0,5.0,0.67,30
294,73851,15.0,15.0,5.0,48
295,73852,8.0,8.0,1.63,40
296,73853,14.0,14.0,3.48,13
297,73854,14.0,14.0,2.69,1
298,73855,2.0,2.0,0.28,38
299,73856,14.0,14.0,3.09,0
300,73857,7.0,7.0,1.33,23
301,73858,4.0,4.0,1.14,52
302,73859,9.0,9.0,3.81,38
303,73860,6.0,6.0,2.18,53
304,73861,15.0,15.0,5.0,77
305,73862,6.0,6.0,1.28,61
306,73863,8.0,8.0,4.26,26
307,73864,5.0,5.0,1.21,62
308,73865,6.0,6.0,1.04,48
309,73866,15.0,15.0,4.67,47
310,73867,15.0,15.0,5.0,80
311,73868,5.0,5.0,1.21,32
312,73869,3.0,3.0,0.64,7
313,73870,15.0,15.0,5.0,38
314,73871,9.0,9.0,2.31,28
316,73873,7.0,7.0,2.26,80
317,73874,10.0,10.0,3.28,2
318,73875,8.0,8.0,1.65,43
319,73876,15.0,15.0,5.0,0
320,73877,7.0,7.0,1.27,0
321,73878,7.0,7.0,2.58,45
322,73879,7.0,7.0,2.03,58
323,73880,10.0,10.0,2.13,50
324,73881,7.0,3.0,0.86,38
325,73882,3.0,1.0,0.21,25
326,73883,2.0,2.0,0.19,67
327,73884,14.0,14.0,3.82,43
328,73885,7.0,7.0,1.07,6
329,73886,15.0,15.0,5.0,64
330,73887,7.0,7.0,2.2,16
331,73888,15.0,15.0,5.0,56
332,73889,4.0,4.0,0.92,15
333,73890,2.0,2.0,0.3,16
334,73891,9.0,9.0,2.68,12
335,73892,15.0,15.0,5.0,15
337,73894,6.0,6.0,0.78,6
338,73895,6.0,6.0,1.07,5
340,73897,3.0,3.0,0.56,11
342,73899,15.0,15.0,5.0,57
343,73900,15.0,15.0,5.0,66
344,73901,15.0,15.0,5.0,54
345,73902,15.0,15.0,5.0,28
346,73903,5.0,5.0,0.77,4
347,73904,4.0,4.0,0.54,17
348,73905,5.0,5.0,0.63,12
349,73906,3.0,3.0,0.44,34
350,73907,3.0,3.0,0.61,8
351,73908,8.0,8.0,3.22,67
352,73909,9.0,9.0,2.98,0
353,73910,15.0,15.0,5.0,51
354,73911,6.0,6.0,1.0,3
355,73912,4.0,4.0,0.92,0
356,73913,12.0,1.0,0.34,26
358,73915,5.0,5.0,0.87,14
359,73916,4.0,4.0,0.97,27
360,73917,6.0,1.0,0.0,8
361,73918,6.0,3.0,0.76,32
362,73919,1.0,1.0,0.0,61
363,73920,7.0,7.0,1.83,18
364,73921,3.0,3.0,1.06,80
365,73922,5.0,5.0,1.37,75
